DATASET;NODE;HEAD;MSE;SSIM;GLITCH;MESH_MSE
GTURIR;10;8;0.0332;0.3633;137.8286;0.004768223454545455
GTURIR;1500;21;0.0329;0.3669;137.6524;0.00011673849963636365
GTURIR;1500;51;0.0327;0.3675;136.1246;0.00013094648190909092
GTURIR;1500;71;0.0343;0.3647;134.6472;0.00016244486363636366
GTURIR;1500;8;0.0323;0.3600;133.0195;9.694263827272725e-05
GTURIR;2000;21;0.0337;0.3564;129.4479;0.00014812061581818178
GTURIR;2000;51;0.0328;0.3621;130.6965;0.00013323919872727273
GTURIR;2000;71;0.0341;0.3625;130.5387;0.00015578870363636363
GTURIR;2000;8;0.0333;0.3700;140.0702;0.00016086808545454545
GTURIR;2500;21;0.0464;0.1902;152.7215;7.461331163636363e-05
GTURIR;2500;51;0.0348;0.3677;133.8114;7.337115590909091e-05
GTURIR;2500;71;0.0338;0.3584;138.5767;0.00013900056499999998
GTURIR;2500;8;0.1164;0.1088;552.6007;7.369603736363635e-05
GTURIR;3000;21;0.0323;0.3634;129.6145;0.00010908578127272728
GTURIR;3000;51;0.0319;0.3644;134.2112;5.926730045454546e-05
GTURIR;3000;71;0.0370;0.3452;137.3551;0.00012196348263636363
GTURIR;3000;8;0.0330;0.3699;143.1207;0.00011847736227272726
GTURIR;500;21;0.0326;0.3674;134.2064;0.0002684720109090909
GTURIR;500;51;0.0329;0.3536;138.8254;0.00020950539818181824
GTURIR;500;71;0.0342;0.3622;134.6317;0.00025787945454545453
GTURIR;500;8;0.0354;0.3519;133.7129;0.00016936150000000001
GTURIR;50;21;0.0340;0.3658;139.1368;0.008779662618181819
GTURIR;50;51;0.0330;0.3649;137.3604;0.003978134572727273
GTURIR;50;71;0.0328;0.3591;129.8707;0.004003705745454545
GTURIR;50;8;0.0324;0.3670;141.2758;0.004672083227272728
BUTReverbDB;10;8;0.0224;0.5463;158.0162;0.00809036598888889
BUTReverbDB;1500;21;0.0213;0.5695;144.8189;0.0008426740964444445
BUTReverbDB;1500;51;0.0200;0.5839;131.5407;0.0009348405622222222
BUTReverbDB;1500;71;0.0232;0.5756;155.9286;0.0010361810455555556
BUTReverbDB;1500;8;0.0203;0.5836;129.6013;0.0005529573011111111
BUTReverbDB;2000;21;0.0211;0.5413;150.2189;0.0014281229204444444
BUTReverbDB;2000;51;0.0222;0.5623;152.7933;0.0009894342721111112
BUTReverbDB;2000;71;0.0225;0.5854;150.3313;0.0010637204122222223
BUTReverbDB;2000;8;0.0206;0.5929;128.9724;0.0009804354345555556
BUTReverbDB;2500;21;0.0485;0.2790;556.7044;0.0004943618728888889
BUTReverbDB;2500;51;0.0196;0.6160;130.1906;0.0006410496962222223
BUTReverbDB;2500;71;0.0236;0.5764;175.2054;0.0010063874322222223
BUTReverbDB;2500;8;0.0700;0.2637;755.8822;0.00089687803
BUTReverbDB;3000;21;0.0195;0.5870;124.8040;0.0008746256877777776
BUTReverbDB;3000;51;0.0195;0.5675;123.8444;0.0005097487422222222
BUTReverbDB;3000;71;0.0339;0.4541;286.7886;0.0010541233917777777
BUTReverbDB;3000;8;0.0202;0.5972;136.8970;0.0008399978738888889
BUTReverbDB;500;21;0.0199;0.5926;133.7300;0.0010658007022222224
BUTReverbDB;500;51;0.0258;0.4946;193.4694;0.0010125350444444442
BUTReverbDB;500;71;0.0207;0.6072;124.1589;0.0009389636344444446
BUTReverbDB;500;8;0.0253;0.5298;167.6229;0.0011449283288888891
BUTReverbDB;50;21;0.0232;0.5798;158.2411;0.004947590411111111
BUTReverbDB;50;51;0.0224;0.5634;154.2182;0.005393246011111111
BUTReverbDB;50;71;0.0211;0.5607;139.8916;0.0051594598111111105
BUTReverbDB;50;8;0.0224;0.5385;165.4209;0.009298187444444446
