GTU-RIR;1500;8;0.0323;0.6400;133.06
GTU-RIR;1500;21;0.0328;0.6331;137.67
GTU-RIR;1500;51;0.0338;0.6383;135.40
GTU-RIR;2000;8;0.0332;0.6344;141.71
GTU-RIR;2000;21;0.0340;0.6498;128.39
GTU-RIR;2000;51;0.0328;0.6379;130.84
GTU-RIR;2500;8;0.1150;0.8902;542.99
GTU-RIR;2500;21;0.0460;0.8067;153.24
GTU-RIR;2500;51;0.0347;0.6321;133.68
BUT-ReverbDB;1500;8;0.0208;0.4247;133.92
BUT-ReverbDB;1500;21;0.0213;0.4379;145.57
BUT-ReverbDB;1500;51;0.0212;0.4408;141.03
BUT-ReverbDB;2000;8;0.0170;0.3748;120.57
BUT-ReverbDB;2000;21;0.0211;0.4690;154.09
BUT-ReverbDB;2000;51;0.0226;0.4432;157.50
BUT-ReverbDB;2500;8;0.0692;0.7332;742.80
BUT-ReverbDB;2500;21;0.0479;0.7244;568.52
BUT-ReverbDB;2500;51;0.0195;0.3839;129.29
